video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=NTsepp03Lfc&pp=ygUPbWV4aWNhbiBjdWx0dXJl,/@springspanish,Spring Spanish - Learn Spanish with Chunks,MEXICAN vs. AMERICAN CULTURE: How do they compare? 👊,24K,5 years,Mexican culture vs American culture: what are the differences? What things you should know about the Mexican culture? In this ...,2026-01-22 00:15:52.071501
/watch?v=8RSBcGQv7jA&pp=ygUPbWV4aWNhbiBjdWx0dXJl,/@TheCrazyGorilla,TheCrazyGorilla,SURVIVING in a Mexican House | Mexican Survival Guide (Compilation),14M,3 years,"We put together an almost 4 hour compilation of the Mexican Survival Guide series that includes Mexican food, snacks, candy and ...",2026-01-22 00:15:52.072980
/watch?v=vlt5eSYZm3U&pp=ygUPbWV4aWNhbiBjdWx0dXJl,/@WannaWalk,Wanna Walk,First Day in Mexico 🇲🇽,537K,7 months,"Mexico City is one of my favorite places in the world. I keep coming back, and every time, it surprises me with something new.",2026-01-22 00:15:52.076196
/watch?v=UOpz21WWd70&pp=ygUPbWV4aWNhbiBjdWx0dXJl,/@bassnova-e5k,DJ BassNova,"EXPLORE THE VIBRANT CULTURE OF MEXICO: TRADITIONS, FOOD, AND ART!",620,1 year,"Hello Guys,please Subscribe my channel thxs. Explore the vibrant and colorful culture of Mexico in this video! From iconic festivals ...",2026-01-22 00:15:52.079623
/watch?v=IT2UH74ksJ4&pp=ygUPbWV4aWNhbiBjdWx0dXJl,/@PragerU,PragerU,Students Vs. Mexicans: Cultural Appropriation | Man on the Street,2.7M,7 years,What is cultural appropriation? Is it okay for a white person to celebrate the culture of a nonwhite country? Will Witt took to UCLA ...,2026-01-22 00:15:52.080898
/watch?v=08am-TIvvFc&pp=ygUPbWV4aWNhbiBjdWx0dXJl,/@EasySpanish,Easy Spanish,What Mexicans like about their culture | Easy Spanish 154,29K,6 years,BECOME A MEMBER: https://www.patreon.com/easyspanish ☞ SUBSCRIBE TO JUAN'S NEW CHANNEL SPANISH AROUND: ...,2026-01-22 00:15:52.082976
/shorts/bYXbwjtmPRk,/@antoniqueen-g8x,Mexican Culture ,mexican culture,446,1 year,"""Discover Mexico: Vibrant cultures, breathtaking landscapes, rich history, delectable cuisine, and warm hospitality. Experience the ...",2026-01-22 00:15:52.085586
/shorts/bmgU6Cqg3m0,/@truehustlepodcast,True Hustle Podcast ,Mexican-American Culture Vs Chicano Culture???,382K,7 months,Is this a valid statement? Follow US on IG: https: ...,2026-01-22 00:15:52.087738
/shorts/CMviuxvNvUo,/@PragerU,PragerU,Cultural Appropriation: Students vs Mexicans,91K,1 year,Is this offensive?,2026-01-22 00:15:52.088974
/watch?v=VhZ-EKPPQkU&pp=ygUPbWV4aWNhbiBjdWx0dXJl,/@UNESCO,UNESCO,"Traditional Mexican cuisine - ancestral, ongoing community culture, the Michoacán paradigm",286K,15 years,UNESCO: Representative List of the Intangible Cultural Heritage of Humanity - 2010 URL: ...,2026-01-22 00:15:52.095425
